canonical_product_key,tripleseat_product_name,event_host_product_name,known_aliases,gotab_product_name,kds_short_name,pan_size_option,default_quantity,preparation_station,price,public_visibility,status,proposed_action,gotab_product_uuid
taco-beef,Taco Bar,Taco Bar Beef,"Beef|Taco Beef",Event Food - Taco Beef,TACO BEEF,THIRD_PAN,1,GRILL,0.00,HIDDEN,MISSING,CREATE_OR_MAP,
taco-chicken,Taco Bar,Taco Bar Chicken,"Chicken|Taco Chicken",Event Food - Taco Chicken,TACO CHICKEN,THIRD_PAN,1,GRILL,0.00,HIDDEN,MISSING,CREATE_OR_MAP,
taco-black-beans,Taco Bar,Taco Bar Black Beans,"Black Beans|Beans",Event Food - Black Beans,BLACK BEANS,THIRD_PAN,1,EXPO,0.00,HIDDEN,MISSING,CREATE_OR_MAP,
taco-tortillas,Taco Bar,Tortillas,"Flour Tortillas|Tortilla Pack",Event Food - Tortillas,TORTILLAS,NOT_APPLICABLE,1,COLD_PREP,0.00,HIDDEN,MISSING,CREATE_OR_MAP,
taco-lettuce-wraps,Taco Bar,Lettuce Wraps,"Lettuce Wrap|Wraps",Event Food - Lettuce Wraps,LETTUCE WRAPS,NOT_APPLICABLE,1,COLD_PREP,0.00,HIDDEN,MISSING,CREATE_OR_MAP,
taco-cold-sides,Taco Bar,Cold Side Set,"Cold Sides|Taco Toppings",Event Food - Taco Cold Sides,TACO COLD,NOT_APPLICABLE,1,COLD_PREP,0.00,HIDDEN,MISSING,CREATE_OR_MAP,
wing-wings,Wing Bar,Wings,"Traditional Wings|Traditional Chicken Wings|Chicken Wings",Event Food - Wings,WINGS,THIRD_PAN,1,FRYER,0.00,HIDDEN,MISSING,CREATE_OR_MAP,
wing-celery,Wing Bar,Celery,"Celery Sticks|Celery Half Sticks",Event Food - Celery,CELERY,NOT_APPLICABLE,1,COLD_PREP,0.00,HIDDEN,MISSING,CREATE_OR_MAP,
wing-fries,Wing Bar,Fries,"French Fries|Fry Platter",Event Food - Fries,FRIES,THIRD_PAN,1,FRYER,0.00,HIDDEN,MISSING,CREATE_OR_MAP,
appetizer-tater-kegs,Appetizer Bar,Tater Kegs,"Tater Keg|Loaded Tater Kegs",Event Food - Tater Kegs,TATER KEGS,THIRD_PAN,1,FRYER,0.00,HIDDEN,MISSING,CREATE_OR_MAP,
appetizer-tater-kegs,Appetizer Bar,Tater Kegs,"Tater Keg|Loaded Tater Kegs",Event Food - Tater Kegs,TATER KEGS,HALF_PAN,1,FRYER,0.00,HIDDEN,MISSING,CREATE_OR_MAP,
appetizer-mozzarella-sticks,Appetizer Bar,Mozzarella Sticks,"Mozz Sticks|Mozzarella Stick",Event Food - Mozzarella Sticks,MOZZ STICKS,THIRD_PAN,1,FRYER,0.00,HIDDEN,MISSING,CREATE_OR_MAP,
appetizer-mozzarella-sticks,Appetizer Bar,Mozzarella Sticks,"Mozz Sticks|Mozzarella Stick",Event Food - Mozzarella Sticks,MOZZ STICKS,HALF_PAN,1,FRYER,0.00,HIDDEN,MISSING,CREATE_OR_MAP,
appetizer-chicken-tenders,Appetizer Bar,Chicken Tenders,"Chicken Tender|Tenders",Event Food - Chicken Tenders,TENDERS,THIRD_PAN,1,FRYER,0.00,HIDDEN,MISSING,CREATE_OR_MAP,
appetizer-chicken-tenders,Appetizer Bar,Chicken Tenders,"Chicken Tender|Tenders",Event Food - Chicken Tenders,TENDERS,HALF_PAN,1,FRYER,0.00,HIDDEN,MISSING,CREATE_OR_MAP,
platter-tater-kegs,Tater Keg Platter,Tater Kegs,"Tater Keg Platter|Tater Kegs Platter",Event Food - Tater Kegs,TATER KEGS,THIRD_PAN,1,FRYER,0.00,HIDDEN,MISSING,CREATE_OR_MAP,
platter-tater-kegs,Tater Keg Platter,Tater Kegs,"Tater Keg Platter|Tater Kegs Platter",Event Food - Tater Kegs,TATER KEGS,HALF_PAN,1,FRYER,0.00,HIDDEN,MISSING,CREATE_OR_MAP,
platter-chicken-tenders,Chicken Tender Platter,Chicken Tenders,"Chicken Tender Platter|Tenders Platter",Event Food - Chicken Tenders,TENDERS,THIRD_PAN,1,FRYER,0.00,HIDDEN,MISSING,CREATE_OR_MAP,
platter-chicken-tenders,Chicken Tender Platter,Chicken Tenders,"Chicken Tender Platter|Tenders Platter",Event Food - Chicken Tenders,TENDERS,HALF_PAN,1,FRYER,0.00,HIDDEN,MISSING,CREATE_OR_MAP,
platter-mozzarella-sticks,Mozzarella Stick Platter,Mozzarella Sticks,"Mozzarella Stick Platter|Mozz Sticks",Event Food - Mozzarella Sticks,MOZZ STICKS,THIRD_PAN,1,FRYER,0.00,HIDDEN,MISSING,CREATE_OR_MAP,
platter-mozzarella-sticks,Mozzarella Stick Platter,Mozzarella Sticks,"Mozzarella Stick Platter|Mozz Sticks",Event Food - Mozzarella Sticks,MOZZ STICKS,HALF_PAN,1,FRYER,0.00,HIDDEN,MISSING,CREATE_OR_MAP,
platter-wings,Wing Platter,Wings,"Wings Platter|Traditional Wings Platter",Event Food - Wings,WINGS,THIRD_PAN,1,FRYER,0.00,HIDDEN,MISSING,CREATE_OR_MAP,
platter-wings,Wing Platter,Wings,"Wings Platter|Traditional Wings Platter",Event Food - Wings,WINGS,HALF_PAN,1,FRYER,0.00,HIDDEN,MISSING,CREATE_OR_MAP,
platter-fries,Fry Platter,Fries,"Fry Platter|French Fries Platter",Event Food - Fries,FRIES,THIRD_PAN,1,FRYER,0.00,HIDDEN,MISSING,CREATE_OR_MAP,
platter-fries,Fry Platter,Fries,"Fry Platter|French Fries Platter",Event Food - Fries,FRIES,HALF_PAN,1,FRYER,0.00,HIDDEN,MISSING,CREATE_OR_MAP,
platter-veggie-tray,Veggie Tray,Veggie Tray,"Vegetable Tray|Assorted Vegetables",Event Food - Veggie Tray,VEGGIE TRAY,TRAY,1,COLD_PREP,0.00,HIDDEN,MISSING,CREATE_OR_MAP,
dessert-platter,Dessert,Assorted Desserts,"Cookies|Dessert Platter|Assorted Deserts",Event Food - Assorted Desserts,DESSERTS,TRAY,1,COLD_PREP,0.00,HIDDEN,MISSING,CREATE_OR_MAP,
sauce-marinara,Marinara Sauce,Marinara,"Marinara|Marinara Bowl",Event Food - Marinara,MARINARA,BOWL,1,COLD_PREP,0.00,HIDDEN,MISSING,CREATE_OR_MAP,
sauce-ranch,Ranch Sauce,Ranch,"Ranch|Ranch Bowl",Event Food - Ranch,RANCH,BOWL,1,COLD_PREP,0.00,HIDDEN,MISSING,CREATE_OR_MAP,
refill-lettuce,Lettuce Refill,Lettuce Refill,"Refill Lettuce|Lettuce",Event Food - Refill Lettuce,REFILL LETTUCE,REFILL,1,COLD_PREP,0.00,HIDDEN,MISSING,CREATE_OR_MAP,
refill-lettuce-wraps,Lettuce Wrap Refill,Lettuce Wrap Refill,"Refill Lettuce Wraps|Lettuce Wraps",Event Food - Refill Lettuce Wraps,REFILL WRAPS,REFILL,1,COLD_PREP,0.00,HIDDEN,MISSING,CREATE_OR_MAP,
refill-tomato,Tomato Refill,Tomato Refill,"Refill Tomato|Tomatoes",Event Food - Refill Tomato,REFILL TOMATO,REFILL,1,COLD_PREP,0.00,HIDDEN,MISSING,CREATE_OR_MAP,
refill-onion,Onion Refill,Onion Refill,"Refill Onion|Onions",Event Food - Refill Onion,REFILL ONION,REFILL,1,COLD_PREP,0.00,HIDDEN,MISSING,CREATE_OR_MAP,
refill-sour-cream,Sour Cream Refill,Sour Cream Refill,"Refill Sour Cream|Sour Cream",Event Food - Refill Sour Cream,REFILL SOUR CRM,REFILL,1,COLD_PREP,0.00,HIDDEN,MISSING,CREATE_OR_MAP,
refill-salsa,Salsa Refill,Salsa Refill,"Refill Salsa|Salsa",Event Food - Refill Salsa,REFILL SALSA,REFILL,1,COLD_PREP,0.00,HIDDEN,MISSING,CREATE_OR_MAP,
refill-cheese,Cheese Refill,Cheese Refill,"Refill Cheese|Cheese",Event Food - Refill Cheese,REFILL CHEESE,REFILL,1,COLD_PREP,0.00,HIDDEN,MISSING,CREATE_OR_MAP,
refill-tortillas,Tortilla Refill,Tortilla Refill,"Refill Tortillas|Tortillas",Event Food - Refill Tortillas,REFILL TORTILLA,REFILL,1,COLD_PREP,0.00,HIDDEN,MISSING,CREATE_OR_MAP,
refill-taco-beef,Taco Beef Refill,Taco Beef Refill,"Refill Beef|Taco Beef Refill",Event Food - Refill Taco Beef,REFILL BEEF,REFILL,1,GRILL,0.00,HIDDEN,MISSING,CREATE_OR_MAP,
refill-taco-chicken,Taco Chicken Refill,Taco Chicken Refill,"Refill Chicken|Taco Chicken Refill",Event Food - Refill Taco Chicken,REFILL CHICKEN,REFILL,1,GRILL,0.00,HIDDEN,MISSING,CREATE_OR_MAP,
refill-black-beans,Black Beans Refill,Black Beans Refill,"Refill Black Beans|Beans Refill",Event Food - Refill Black Beans,REFILL BEANS,REFILL,1,EXPO,0.00,HIDDEN,MISSING,CREATE_OR_MAP,
